mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22.94349394,0.452690763,1.951605415,0.626857984,600,6,log2,balanced,"{'n_estimators': 600, 'min_samples_leaf': 6, 'max_features': 'log2', 'class_weight': 'balanced'}",0.69216017,0.693032604,0.675337103,0.706761542,0.693420273,0.692142338,0.00998562,1
22.11365147,2.419500463,3.285811758,0.791650373,600,6,sqrt,balanced,"{'n_estimators': 600, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced'}",0.69216017,0.693032604,0.675337103,0.706761542,0.693420273,0.692142338,0.00998562,1
16.95828061,2.276158339,2.57121129,0.454410001,400,6,sqrt,balanced,"{'n_estimators': 400, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced'}",0.693323389,0.695198186,0.67495212,0.705212496,0.690902398,0.691917718,0.009781113,3
36.73006649,1.592378227,3.452385998,0.60679624,800,6,sqrt,balanced_subsample,"{'n_estimators': 800, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",0.69197989,0.697312353,0.676110552,0.701520336,0.692300482,0.691844723,0.008617454,4
9.895212412,2.494358121,2.591765881,1.105322224,200,6,log2,balanced_subsample,"{'n_estimators': 200, 'min_samples_leaf': 6, 'max_features': 'log2', 'class_weight': 'balanced_subsample'}",0.688292192,0.69086525,0.678815266,0.702868104,0.692300482,0.690628259,0.007715832,5
17.84931097,1.073875726,3.107922792,0.497417893,400,6,sqrt,balanced_subsample,"{'n_estimators': 400, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",0.68731066,0.694987047,0.674562907,0.698015234,0.6930649,0.68958815,0.008284884,6
21.94007406,0.448428391,2.769631147,0.719471428,600,4,log2,balanced,"{'n_estimators': 600, 'min_samples_leaf': 4, 'max_features': 'log2', 'class_weight': 'balanced'}",0.684572888,0.688876104,0.671382424,0.702090093,0.690010538,0.687386409,0.009892896,7
5.765887022,1.213926639,2.798009443,0.060013548,200,4,sqrt,balanced,"{'n_estimators': 200, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced'}",0.688478597,0.688973656,0.672411545,0.69931713,0.684960954,0.686828376,0.008655943,8
14.72791719,2.419342306,2.649585199,0.600609559,400,4,sqrt,balanced,"{'n_estimators': 400, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced'}",0.688696118,0.685304017,0.667721249,0.704829494,0.685569853,0.686424146,0.011795775,9
31.01816025,0.292676111,1.95669179,0.836452293,600,4,log2,balanced_subsample,"{'n_estimators': 600, 'min_samples_leaf': 4, 'max_features': 'log2', 'class_weight': 'balanced_subsample'}",0.681377983,0.687143719,0.668595289,0.69931713,0.685770097,0.684440844,0.009907967,10
23.68137913,1.490414113,3.170957375,0.478133405,400,2,log2,balanced_subsample,"{'n_estimators': 400, 'min_samples_leaf': 2, 'max_features': 'log2', 'class_weight': 'balanced_subsample'}",0.671831332,0.685945823,0.649946663,0.683075827,0.676776582,0.673515246,0.012766158,11
8.966578341,2.218420375,2.488812923,0.933413235,200,2,log2,balanced,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 'log2', 'class_weight': 'balanced'}",0.669083589,0.684347322,0.651896307,0.684071941,0.66903108,0.671686048,0.011993112,12
10.44353433,1.877531754,2.726260185,0.744286011,200,2,sqrt,balanced,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced'}",0.669083589,0.684347322,0.651896307,0.684071941,0.66903108,0.671686048,0.011993112,12
29.56489425,0.972788661,2.913141203,0.302692623,600,2,log2,balanced_subsample,"{'n_estimators': 600, 'min_samples_leaf': 2, 'max_features': 'log2', 'class_weight': 'balanced_subsample'}",0.673851009,0.68173974,0.647696616,0.679193694,0.67456096,0.671408404,0.01221066,14
38.34852815,6.424087686,1.509685183,0.794788562,800,2,sqrt,balanced_subsample,"{'n_estimators': 800, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",0.674110339,0.679247582,0.647696616,0.678364154,0.673919507,0.67066764,0.011687143,15
0.003983021,0.002274555,0,0,800,4,0.3,balanced,"{'n_estimators': 800, 'min_samples_leaf': 4, 'max_features': '0.3', 'class_weight': 'balanced'}",,,,,,,,16
0.002996826,0.000563451,0,0,600,6,0.3,balanced,"{'n_estimators': 600, 'min_samples_leaf': 6, 'max_features': '0.3', 'class_weight': 'balanced'}",,,,,,,,16
0.003060913,0.000962417,0,0,200,4,0.3,balanced,"{'n_estimators': 200, 'min_samples_leaf': 4, 'max_features': '0.3', 'class_weight': 'balanced'}",,,,,,,,16
0.002961302,0.000327048,0,0,600,2,0.3,balanced_subsample,"{'n_estimators': 600, 'min_samples_leaf': 2, 'max_features': '0.3', 'class_weight': 'balanced_subsample'}",,,,,,,,16
0.011420965,0.012400967,0,0,400,6,0.3,balanced,"{'n_estimators': 400, 'min_samples_leaf': 6, 'max_features': '0.3', 'class_weight': 'balanced'}",,,,,,,,16
